Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
1765,20,3326,608,397,54
4857,25,752,73,6697,700
1882,27,439,56,5641,776
1343,30,13858,2932,2092,448
1006,21,5912,1148,2610,579
2861,25,449,51,5462,754
901,37,627,76,14744,2019
2184,31,6979,952,4252,634
1032,32,445,59,6790,1004
745,33,427,72,2215,433
2360,29,5161,609,487,75
780,28,1864,149,3264,349
587,40,8960,1958,724,157
889,39,3443,734,4150,898
991,30,558,69,2801,471
1229,25,9555,1136,1028,115
5118,31,3135,270,580,67
2312,35,3351,477,6471,937
791,28,3824,480,1022,201
4087,25,373,43,2118,338
2165,19,3416,434,4299,553
1562,32,1533,204,777,106
1099,28,7499,1211,2736,435
943,30,543,65,14374,1907
2318,28,2786,345,8038,1143
629,39,431,57,8108,1167
3841,37,4316,657,296,61
4928,22,3810,446,425,66
1110,27,6277,885,4970,844
3870,29,10234,1644,659,132
2799,29,535,74,2406,554
3011,37,417,48,6103,830
1998,27,3213,501,561,95
185,27,1093,169,343,60
2021,32,4923,553,3363,365
839,27,1442,162,4059,482
2831,23,2023,283,599,105
113,32,756,118,7845,977
1741,25,8512,898,1107,142
442,24,17019,3978,1646,409
975,27,280,26,180,28
2375,31,11852,1826,699,145
950,32,2373,382,1521,254
1634,24,800,95,11791,2106
3640,24,1723,187,2541,372
237,30,1373,281,2692,772
759,35,2832,425,293,57
1262,27,9271,1119,421,85
3481,25,524,57,3288,542
1055,25,761,88,7514,1116
341,28,563,51,9610,1002
1142,26,8340,1350,401,59
210,22,914,85,15432,2100
840,30,3175,456,3891,576
2095,26,443,51,2772,454
630,34,908,138,5426,710
3608,29,486,45,5454,561
1360,34,897,101,5505,871
1587,25,3884,527,6132,940
213,29,4818,842,621,122
3695,28,528,50,4732,721
3043,30,1107,174,5769,1144
1716,18,296,28,142,21
1269,42,3012,399,372,68
208,20,2478,335,8033,580
1887,30,6381,950,5158,883
844,37,12683,2365,607,122
2988,36,490,58,1694,242
2198,30,3835,591,3494,493
2342,35,4015,517,2228,281
3453,29,1079,237,9153,1100
1339,34,461,52,3202,407
2863,33,1532,305,15462,4162
559,28,12974,2052,500,105
2832,30,359,45,352,80
949,32,2947,466,262,47
1237,34,12490,1703,507,81
206,25,807,151,10164,1740
4954,29,1425,173,9433,1098
2721,24,2926,464,7685,1388
5022,31,4348,617,1405,300
2459,38,3266,458,486,99
4271,24,1395,163,12482,1645
2833,34,3208,441,1302,200
4178,28,843,163,297,87
2882,35,8971,1012,534,90
1439,31,2754,445,2103,379
